"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 15 09:51:41 GMT 2025","Fri Aug 15 09:51:43 GMT 2025","2865","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Aug 15 09:51:47 GMT 2025","Fri Aug 15 09:51:49 GMT 2025","2519","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Aug 15 09:51:51 GMT 2025","Fri Aug 15 09:51:52 GMT 2025","1404","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Aug 15 09:51:50 GMT 2025","Fri Aug 15 09:51:50 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Aug 15 09:51:38 GMT 2025","Fri Aug 15 09:51:40 GMT 2025","2183","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 15 09:51:50 GMT 2025","Fri Aug 15 09:51:50 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Fri Aug 15 09:51:50 GMT 2025","Fri Aug 15 09:51:50 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Aug 15 09:51:38 GMT 2025","Fri Aug 15 09:51:40 GMT 2025","2218","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 15 09:51:43 GMT 2025","Fri Aug 15 09:51:44 GMT 2025","1432","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Aug 15 09:51:47 GMT 2025","Fri Aug 15 09:51:51 GMT 2025","3170","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Aug 15 09:51:45 GMT 2025","Fri Aug 15 09:51:47 GMT 2025","1447","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Aug 15 09:51:50 GMT 2025","Fri Aug 15 09:51:50 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Fri Aug 15 09:51:41 GMT 2025","Fri Aug 15 09:51:42 GMT 2025","1744","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Aug 15 09:51:50 GMT 2025","Fri Aug 15 09:51:50 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Aug 15 09:51:44 GMT 2025","Fri Aug 15 09:51:46 GMT 2025","1496","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Aug 15 09:51:50 GMT 2025","Fri Aug 15 09:51:50 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
